version,hilos,n_solicitado,frame,fase,update_ms,mobs_ms,build_ms,sombras_ms,cpu_ms,frame_ms,fps
paralelo,12,2000000,163,sostenido,1.15070,0.00020,2.38970,0.00020,3.54170,7.60610,131.473
paralelo,12,2000000,164,sostenido,1.11490,0.00020,3.09940,0.00010,4.21570,8.01690,124.736
paralelo,12,2000000,165,sostenido,1.27260,0.00030,2.95400,0.00020,4.22800,8.06180,124.042
paralelo,12,2000000,166,sostenido,1.01130,0.00030,2.90250,0.00020,3.91510,8.01740,124.729
paralelo,12,2000000,167,sostenido,1.29910,0.00020,2.74650,0.00020,4.04700,7.91690,126.312
paralelo,12,2000000,168,sostenido,1.01650,0.00030,2.50520,0.00020,3.52300,7.61660,131.292
paralelo,12,2000000,169,sostenido,1.11630,0.00030,2.45600,0.00000,3.57370,7.40570,135.031
paralelo,12,2000000,170,sostenido,1.01330,0.00020,2.42620,0.00010,3.44090,7.71670,129.589
paralelo,12,2000000,171,sostenido,1.50380,0.00020,3.33520,0.00030,4.84080,8.71740,114.713
paralelo,12,2000000,172,sostenido,1.40240,0.00020,3.06770,0.00010,4.47220,8.78820,113.789
paralelo,12,2000000,173,sostenido,1.35870,0.00020,3.13200,0.00010,4.49210,8.49820,117.672
paralelo,12,2000000,174,sostenido,1.48370,0.00030,3.66570,0.00020,5.15100,9.69200,103.178
paralelo,12,2000000,175,sostenido,1.38180,0.00030,3.09500,0.00010,4.47800,8.49270,117.748
paralelo,12,2000000,176,sostenido,1.35520,0.00020,3.32400,0.00020,4.68050,8.64470,115.678
paralelo,12,2000000,177,sostenido,1.35210,0.00010,3.15000,0.00010,4.50310,8.53200,117.206
paralelo,12,2000000,178,sostenido,1.31730,0.00020,3.27430,0.00020,4.59310,8.40610,118.961
paralelo,12,2000000,179,sostenido,1.27500,0.00030,3.15470,0.00020,4.43120,8.27150,120.897
paralelo,12,2000000,180,sostenido,1.32860,0.00030,3.49170,0.00020,4.82190,8.91210,112.207
paralelo,12,2000000,181,sostenido,1.41930,0.00030,3.82690,0.00020,5.24850,9.27450,107.823
paralelo,12,2000000,182,sostenido,1.54880,0.00030,4.17400,0.00030,5.72480,10.32430,96.859
paralelo,12,2000000,183,sostenido,1.71990,0.00050,4.42600,0.00020,6.14780,11.55740,86.525
paralelo,12,2000000,184,sostenido,1.65340,0.00020,3.61650,0.00020,5.27150,9.52290,105.010
paralelo,12,2000000,185,sostenido,1.55190,0.00020,3.66420,0.00020,5.21770,9.37780,106.635
paralelo,12,2000000,186,sostenido,1.44660,0.00020,3.41210,0.00010,4.86020,8.76430,114.099
paralelo,12,2000000,187,sostenido,1.51730,0.00010,4.00700,0.00020,5.52580,9.67030,103.409
paralelo,12,2000000,188,sostenido,1.31650,0.00020,3.14220,0.00010,4.46020,8.28440,120.709
paralelo,12,2000000,189,sostenido,1.40270,0.00010,4.16790,0.00020,5.57230,9.99630,100.037
paralelo,12,2000000,190,sostenido,1.44170,0.00020,2.97440,0.00020,4.41730,8.53730,117.133
paralelo,12,2000000,191,sostenido,1.49570,0.00020,2.90560,0.00020,4.40260,8.52310,117.328
paralelo,12,2000000,192,sostenido,1.39770,0.00020,3.47690,0.00010,4.87590,8.98400,111.309
paralelo,12,2000000,193,sostenido,1.33610,0.00020,3.13550,0.00020,4.47310,8.34470,119.837
paralelo,12,2000000,194,sostenido,1.31340,0.00030,3.16440,0.00010,4.47950,9.19850,108.713
paralelo,12,2000000,195,sostenido,1.46400,0.00030,3.14060,0.00010,4.61170,8.42440,118.703
paralelo,12,2000000,196,sostenido,1.33570,0.00020,3.54510,0.00020,4.88210,9.70100,103.082
paralelo,12,2000000,197,sostenido,1.43740,0.00030,3.20790,0.00020,4.64680,8.45270,118.305
paralelo,12,2000000,198,sostenido,1.40190,0.00050,3.32700,0.00020,4.73110,8.95030,111.728
paralelo,12,2000000,199,sostenido,1.46140,0.00020,3.67860,0.00010,5.14180,9.19490,108.756
paralelo,12,2000000,200,sostenido,1.74370,0.00040,3.42510,0.00030,5.17090,9.27330,107.836
paralelo,12,2000000,201,sostenido,1.46560,0.00030,3.64760,0.00010,5.11510,9.38340,106.571
paralelo,12,2000000,202,sostenido,2.38990,0.00040,4.44680,0.00020,6.83890,11.55390,86.551
paralelo,12,2000000,203,sostenido,1.36420,0.00030,3.50380,0.00010,4.86990,9.95670,100.435
paralelo,12,2000000,204,sostenido,1.82200,0.00050,3.85490,0.00020,5.67870,9.57070,104.486
paralelo,12,2000000,205,sostenido,1.49140,0.00020,3.09260,0.00010,4.58550,8.75370,114.237
paralelo,12,2000000,206,sostenido,1.37060,0.00020,3.16610,0.00010,4.53830,8.31430,120.275
paralelo,12,2000000,207,sostenido,1.40040,0.00040,3.19550,0.00020,4.59770,8.55430,116.900
paralelo,12,2000000,208,sostenido,1.61730,0.00030,3.23960,0.00020,4.85850,8.91730,112.142
paralelo,12,2000000,209,sostenido,1.57510,0.00020,3.27470,0.00020,4.85150,8.79560,113.693
paralelo,12,2000000,210,sostenido,1.11030,0.00010,2.43180,0.00020,3.54340,7.52440,132.901
paralelo,12,2000000,211,sostenido,1.34320,0.00020,4.11600,0.00020,5.46090,9.43390,106.001
paralelo,12,2000000,212,sostenido,1.11460,0.00040,2.58520,0.00010,3.70130,7.70650,129.761
paralelo,12,2000000,213,sostenido,1.60130,0.00030,3.59210,0.00020,5.19500,9.47190,105.575
paralelo,12,2000000,214,sostenido,1.21570,0.00020,2.84870,0.00010,4.06590,7.96060,125.619
paralelo,12,2000000,215,sostenido,1.40080,0.00020,3.40830,0.00020,4.81090,8.94860,111.749
paralelo,12,2000000,216,sostenido,1.03220,0.00030,2.58280,0.00020,3.61630,7.41680,134.829
paralelo,12,2000000,217,sostenido,1.32290,0.00030,2.62040,0.00010,3.94480,8.01700,124.735
paralelo,12,2000000,218,sostenido,1.01880,0.00030,2.43210,0.00020,3.45220,7.22300,138.447
paralelo,12,2000000,219,sostenido,1.08610,0.00030,3.51510,0.00020,4.60270,8.71350,114.764
paralelo,12,2000000,220,sostenido,1.09340,0.00040,2.70050,0.00010,3.79560,7.64740,130.763
paralelo,12,2000000,221,sostenido,1.31010,0.00010,3.02420,0.00020,4.33570,8.25340,121.162
paralelo,12,2000000,222,sostenido,1.04890,0.00020,3.22580,0.00190,4.27830,8.61460,116.082
paralelo,12,2000000,223,sostenido,1.58690,0.00030,3.05280,0.00020,4.64110,8.53160,117.211
paralelo,12,2000000,224,sostenido,1.05160,0.00020,3.02380,0.00020,4.07690,8.22740,121.545
paralelo,12,2000000,225,sostenido,1.21440,0.00030,3.47360,0.00040,4.68980,8.91400,112.183
paralelo,12,2000000,226,sostenido,1.12760,0.00020,2.53980,0.00010,3.66880,7.67140,130.354
paralelo,12,2000000,227,sostenido,1.12420,0.00020,3.02760,0.00010,4.15320,7.95590,125.693
paralelo,12,2000000,228,sostenido,1.10620,0.00010,2.41150,0.00010,3.51930,7.35600,135.943
paralelo,12,2000000,229,sostenido,1.09530,0.00020,2.87710,0.00020,3.97370,8.08450,123.693
paralelo,12,2000000,230,sostenido,1.22960,0.00020,2.49460,0.00010,3.72540,7.60200,131.544
paralelo,12,2000000,231,sostenido,1.10460,0.00020,3.21130,0.00040,4.31760,8.68750,115.108
paralelo,12,2000000,232,sostenido,1.16830,0.00050,3.20960,0.00010,4.37940,8.15810,122.578
paralelo,12,2000000,233,sostenido,1.32360,0.00030,3.61000,0.00030,4.93540,9.58750,104.302
paralelo,12,2000000,234,sostenido,1.26740,0.00030,2.49320,0.00010,3.76220,7.52510,132.889
paralelo,12,2000000,235,sostenido,1.02210,0.00030,3.01120,0.00010,4.03480,8.61870,116.027
paralelo,12,2000000,236,sostenido,1.91440,0.00040,3.01810,0.00020,4.93410,9.04750,110.528
paralelo,12,2000000,237,sostenido,1.48740,0.00040,3.46170,0.00030,4.95070,9.01920,110.875
paralelo,12,2000000,238,sostenido,1.16610,0.00020,2.36060,0.00020,3.52800,7.50740,133.202
paralelo,12,2000000,239,sostenido,1.16100,0.00040,3.29330,0.00020,4.45610,8.49580,117.705
paralelo,12,2000000,240,sostenido,1.20010,0.00030,2.52140,0.00010,3.72290,7.71850,129.559
paralelo,12,2000000,241,sostenido,1.35400,0.00020,3.22590,0.00010,4.58150,8.41030,118.902
paralelo,12,2000000,242,sostenido,1.09170,0.00020,2.57490,0.00020,3.66800,7.49900,133.351
paralelo,12,2000000,243,sostenido,1.36070,0.00040,2.89310,0.00010,4.25530,8.37040,119.469
paralelo,12,2000000,244,sostenido,1.10420,0.00030,2.51510,0.00010,3.62070,7.42810,134.624
paralelo,12,2000000,245,sostenido,1.08340,0.00030,2.79840,0.00020,3.88340,8.51340,117.462
paralelo,12,2000000,246,sostenido,1.45610,0.00030,2.82220,0.00020,4.27990,8.50710,117.549
paralelo,12,2000000,247,sostenido,1.13660,0.00020,2.69240,0.00010,3.83030,8.22800,121.536
paralelo,12,2000000,248,sostenido,1.14580,0.00020,2.59630,0.00010,3.74320,7.48460,133.608
paralelo,12,2000000,249,sostenido,1.03230,0.00020,2.41440,0.00010,3.44790,7.59280,131.704
paralelo,12,2000000,250,sostenido,1.58190,0.00020,3.29880,0.00020,4.88210,9.20720,108.611
paralelo,12,2000000,251,sostenido,1.40460,0.00020,3.15670,0.00020,4.56290,9.05760,110.405
paralelo,12,2000000,252,sostenido,1.14080,0.00020,2.76830,0.00010,3.91060,7.95830,125.655
