version,hilos,n_solicitado,frame,fase,update_ms,mobs_ms,build_ms,sombras_ms,cpu_ms,frame_ms,fps
secuencial,1,2000000,130,sostenido,3.71080,0.00040,8.71150,0.00000,12.42360,17.95690,55.689
secuencial,1,2000000,131,sostenido,3.49020,0.00040,11.07200,0.00020,14.56370,20.23050,49.430
secuencial,1,2000000,132,sostenido,3.62380,0.00040,8.65620,0.00010,12.28150,17.78050,56.241
secuencial,1,2000000,133,sostenido,3.43710,0.00040,9.95720,0.00010,13.39590,19.05820,52.471
secuencial,1,2000000,134,sostenido,3.68710,0.00050,12.62930,0.00020,16.31820,22.18280,45.080
secuencial,1,2000000,135,sostenido,4.46970,0.00030,9.39220,0.00010,13.86350,19.53410,51.193
secuencial,1,2000000,136,sostenido,3.58270,0.00050,8.75070,0.00000,12.33500,17.95120,55.707
secuencial,1,2000000,137,sostenido,3.42850,0.00040,8.84170,0.00020,12.27170,17.77630,56.255
secuencial,1,2000000,138,sostenido,3.72620,0.00050,9.82590,0.00010,13.55380,19.23500,51.989
secuencial,1,2000000,139,sostenido,4.10420,0.00050,9.36580,0.00010,13.47150,18.89520,52.923
secuencial,1,2000000,140,sostenido,4.28810,0.00020,8.80780,0.00010,13.09720,19.13760,52.253
secuencial,1,2000000,141,sostenido,3.42510,0.00030,8.29650,0.00000,11.72310,17.89470,55.882
secuencial,1,2000000,142,sostenido,3.37370,0.00020,8.53100,0.00010,11.90610,17.85250,56.015
secuencial,1,2000000,143,sostenido,3.41540,0.00050,8.36650,0.00010,11.78340,17.48060,57.206
secuencial,1,2000000,144,sostenido,3.35270,0.00050,9.16170,0.00020,12.51600,17.96980,55.649
secuencial,1,2000000,145,sostenido,3.54760,0.00050,8.67300,0.00010,12.22240,17.86470,55.976
secuencial,1,2000000,146,sostenido,3.53600,0.00060,8.80620,0.00010,12.34430,17.77990,56.243
secuencial,1,2000000,147,sostenido,4.55320,0.00020,10.83140,0.00020,15.38590,20.98690,47.649
secuencial,1,2000000,148,sostenido,3.22830,0.00020,8.40400,0.00010,11.63350,16.98520,58.875
secuencial,1,2000000,149,sostenido,3.53730,0.00030,9.23390,0.00020,12.77260,18.52160,53.991
secuencial,1,2000000,150,sostenido,4.13940,0.00040,8.24900,0.00000,12.39010,17.73220,56.395
secuencial,1,2000000,151,sostenido,3.43210,0.00070,9.09670,0.00000,12.53090,18.50980,54.025
secuencial,1,2000000,152,sostenido,6.53750,0.00040,9.64160,0.00010,16.18060,21.78880,45.895
secuencial,1,2000000,153,sostenido,3.28250,0.00030,9.28720,0.00010,12.57110,17.95790,55.686
secuencial,1,2000000,154,sostenido,3.45440,0.00030,8.58320,0.00010,12.03900,17.62080,56.751
secuencial,1,2000000,155,sostenido,3.85450,0.00020,9.11680,0.00020,12.97260,18.34520,54.510
secuencial,1,2000000,156,sostenido,3.44400,0.00030,9.24580,0.00010,12.69160,18.46730,54.150
secuencial,1,2000000,157,sostenido,3.28710,0.00010,9.07910,0.00010,12.36740,17.69040,56.528
secuencial,1,2000000,158,sostenido,3.28860,0.00040,9.90850,0.00010,13.19870,18.68980,53.505
secuencial,1,2000000,159,sostenido,3.40630,0.00020,8.34660,0.00010,11.75390,17.31580,57.751
secuencial,1,2000000,160,sostenido,3.67670,0.00030,8.24980,0.00010,11.92790,17.34570,57.651
secuencial,1,2000000,161,sostenido,3.39540,0.00030,9.96340,0.00010,13.36030,19.47690,51.343
secuencial,1,2000000,162,sostenido,3.70580,0.00030,8.36570,0.00010,12.07290,18.55460,53.895
secuencial,1,2000000,163,sostenido,3.21610,0.00040,8.54740,0.00010,11.76490,17.37710,57.547
secuencial,1,2000000,164,sostenido,3.16190,0.00020,11.06270,0.00010,14.22580,19.53920,51.179
secuencial,1,2000000,165,sostenido,4.18490,0.00020,9.14180,0.00010,13.32790,18.76730,53.284
secuencial,1,2000000,166,sostenido,3.15720,0.00050,8.68060,0.00020,11.83940,17.53090,57.042
secuencial,1,2000000,167,sostenido,3.69010,0.00030,8.94220,0.00010,12.63370,18.08190,55.304
secuencial,1,2000000,168,sostenido,6.20870,0.00050,16.80910,0.00010,23.01980,28.92140,34.576
secuencial,1,2000000,169,sostenido,4.89540,0.00040,9.44370,0.00010,14.34060,19.71330,50.727
secuencial,1,2000000,170,sostenido,3.40950,0.00030,10.52360,0.00000,13.93430,19.61670,50.977
secuencial,1,2000000,171,sostenido,4.67490,0.00050,9.53400,0.00010,14.21060,19.59710,51.028
secuencial,1,2000000,172,sostenido,5.82760,0.00060,11.21210,0.00010,17.04190,22.52250,44.400
secuencial,1,2000000,173,sostenido,3.27910,0.00020,8.60110,0.00020,11.88150,17.75560,56.320
secuencial,1,2000000,174,sostenido,3.41710,0.00030,8.78630,0.00010,12.20480,17.63450,56.707
secuencial,1,2000000,175,sostenido,3.27680,0.00020,9.26870,0.00020,12.54720,19.81480,50.467
secuencial,1,2000000,176,sostenido,4.57570,0.00030,10.05850,0.00010,14.63570,20.13790,49.658
secuencial,1,2000000,177,sostenido,3.70750,0.00030,8.55640,0.00020,12.26530,17.90930,55.837
secuencial,1,2000000,178,sostenido,3.60100,0.00040,8.80700,0.00020,12.40930,17.75790,56.313
secuencial,1,2000000,179,sostenido,3.66370,0.00030,8.44380,0.00010,12.10860,17.96540,55.663
secuencial,1,2000000,180,sostenido,3.49280,0.00040,8.57820,0.00010,12.07230,18.13840,55.132
secuencial,1,2000000,181,sostenido,3.22390,0.00040,8.82900,0.00020,12.05440,19.22950,52.003
secuencial,1,2000000,182,sostenido,4.53610,0.00050,16.90270,0.00010,21.44080,27.38130,36.521
secuencial,1,2000000,183,sostenido,5.12570,0.00030,9.38900,0.00020,14.51600,20.37090,49.090
secuencial,1,2000000,184,sostenido,3.83770,0.00040,9.08170,0.00020,12.92090,19.61940,50.970
secuencial,1,2000000,185,sostenido,3.82420,0.00030,8.61610,0.00010,12.44180,18.04660,55.412
secuencial,1,2000000,186,sostenido,3.35770,0.00030,9.74300,0.00010,13.10220,18.65040,53.618
secuencial,1,2000000,187,sostenido,4.35160,0.00040,11.54910,0.00020,15.90230,21.51640,46.476
secuencial,1,2000000,188,sostenido,4.02500,0.00040,8.87400,0.00000,12.90050,18.31720,54.593
secuencial,1,2000000,189,sostenido,3.53070,0.00060,8.54670,0.00020,12.07900,18.08640,55.290
secuencial,1,2000000,190,sostenido,4.08000,0.00060,8.61260,0.00010,12.69480,19.14300,52.238
secuencial,1,2000000,191,sostenido,3.75670,0.00040,8.59260,0.00000,12.35090,19.33480,51.720
secuencial,1,2000000,192,sostenido,3.31050,0.00040,8.86020,0.00010,12.17260,17.82210,56.110
secuencial,1,2000000,193,sostenido,4.16650,0.00030,10.40310,0.00020,14.57100,20.07850,49.805
secuencial,1,2000000,194,sostenido,3.34610,0.00030,8.28450,0.00010,11.63200,17.20180,58.133
secuencial,1,2000000,195,sostenido,3.39950,0.00040,8.58030,0.00000,11.98860,17.41160,57.433
secuencial,1,2000000,196,sostenido,3.28290,0.00030,8.37350,0.00010,11.65760,17.21500,58.089
secuencial,1,2000000,197,sostenido,3.28850,0.00040,8.24530,0.00000,11.53520,16.90560,59.152
secuencial,1,2000000,198,sostenido,3.31210,0.00030,10.03300,0.00020,13.34720,19.30400,51.803
secuencial,1,2000000,199,sostenido,5.22400,0.00030,11.72080,0.00020,16.94640,22.80850,43.843
secuencial,1,2000000,200,sostenido,3.43300,0.00030,9.23770,0.00010,12.67210,18.54090,53.935
secuencial,1,2000000,201,sostenido,4.11640,0.00030,14.66510,0.00030,18.78340,24.60290,40.646
secuencial,1,2000000,202,sostenido,4.66110,0.00040,12.32870,0.00030,16.99180,22.53520,44.375
secuencial,1,2000000,203,sostenido,3.91150,0.00050,10.27770,0.00030,14.19120,19.94430,50.140
secuencial,1,2000000,204,sostenido,4.25630,0.00080,13.56980,0.00030,17.82830,23.58200,42.405
secuencial,1,2000000,205,sostenido,4.34780,0.00050,12.99710,0.00030,17.34710,23.14320,43.209
secuencial,1,2000000,206,sostenido,3.70160,0.00040,10.72760,0.00000,14.43090,19.82010,50.454
secuencial,1,2000000,207,sostenido,3.87520,0.00020,9.24900,0.00010,13.12540,18.57730,53.829
secuencial,1,2000000,208,sostenido,3.30080,0.00020,9.17470,0.00020,12.47690,19.52620,51.213
secuencial,1,2000000,209,sostenido,3.39450,0.00030,11.03650,0.00010,14.43250,21.24280,47.075
secuencial,1,2000000,210,sostenido,3.97240,0.00040,8.69650,0.00020,12.67050,20.09530,49.763
secuencial,1,2000000,211,sostenido,3.57990,0.00060,9.69300,0.00010,13.27520,22.03540,45.382
secuencial,1,2000000,212,sostenido,3.39800,0.00030,11.44230,0.00030,14.84290,22.00970,45.435
secuencial,1,2000000,213,sostenido,3.56050,0.00060,8.58340,0.00010,12.14560,19.03420,52.537
secuencial,1,2000000,214,sostenido,3.91720,0.00050,9.78240,0.00030,13.70190,23.25810,42.996
secuencial,1,2000000,215,sostenido,3.93430,0.00040,10.72750,0.00010,14.66350,21.73780,46.003
secuencial,1,2000000,216,sostenido,3.42570,0.00050,9.95410,0.00030,13.38160,20.24130,49.404
secuencial,1,2000000,217,sostenido,3.85730,0.00040,9.88370,0.00010,13.74250,21.75770,45.961
secuencial,1,2000000,218,sostenido,4.17690,0.00040,9.74860,0.00010,13.92780,21.56860,46.364
secuencial,1,2000000,219,sostenido,4.62830,0.00060,10.68850,0.00010,15.31840,22.75240,43.951
secuencial,1,2000000,220,sostenido,3.67050,0.00030,8.66060,0.00010,12.33250,19.67370,50.829
secuencial,1,2000000,221,sostenido,3.90710,0.00080,8.86100,0.00010,12.77010,20.45230,48.894
secuencial,1,2000000,222,sostenido,4.00800,0.00030,11.88550,0.00010,15.89490,25.13620,39.783
secuencial,1,2000000,223,sostenido,4.49260,0.00040,8.95290,0.00000,13.44720,20.29030,49.285
secuencial,1,2000000,224,sostenido,3.54940,0.00060,8.68400,0.00000,12.23540,19.93390,50.166
secuencial,1,2000000,225,sostenido,3.74230,0.00020,8.59950,0.00000,12.34310,19.58160,51.068
secuencial,1,2000000,226,sostenido,3.51470,0.00030,8.66510,0.00010,12.18150,19.18440,52.126
secuencial,1,2000000,227,sostenido,3.41440,0.00040,8.68190,0.00010,12.09770,18.84590,53.062
secuencial,1,2000000,228,sostenido,3.68400,0.00040,9.12620,0.00010,12.81180,19.66010,50.864
secuencial,1,2000000,229,sostenido,4.07150,0.00030,8.88100,0.00010,12.95410,20.01960,49.951
secuencial,1,2000000,230,sostenido,3.15730,0.00030,8.19410,0.00000,11.35300,18.53140,53.962
secuencial,1,2000000,231,sostenido,3.17630,0.00040,8.30200,0.00010,11.47960,18.85130,53.047
secuencial,1,2000000,232,sostenido,3.17590,0.00030,8.55030,0.00020,11.72770,18.52930,53.969
secuencial,1,2000000,233,sostenido,3.13500,0.00040,8.64790,0.00010,11.78430,18.73590,53.373
secuencial,1,2000000,234,sostenido,3.36000,0.00020,8.98670,0.00010,12.34800,19.04080,52.519
