version,hilos,n_solicitado,repeticion,bloques_generados,bloques_dibujados_prom,frames_medidos,fase_predominante,gen_ms_prom,update_ms_prom,build_ms_prom,cpu_ms_prom,cpu_ms_desv,frame_ms_prom,frame_ms_p95,fps_prom,fps_min,frames_bajo_60fps
paralelo,8,500000,4,482184,81660.0,300,sostenido,8.6443,0.2534,0.8590,1.1136,0.1730,2.4400,2.8787,409.8374,259.0741,0
paralelo,8,500000,5,482184,81660.0,300,sostenido,7.9942,0.2376,0.9066,1.1455,0.1713,2.4668,2.9202,405.3909,261.9653,0
paralelo,8,500000,6,482184,81660.0,300,sostenido,8.1289,0.2361,0.9563,1.1937,0.1829,2.5159,2.9316,397.4701,278.6447,0
paralelo,8,500000,7,482184,81660.0,300,sostenido,7.8821,0.2381,0.9496,1.1892,0.1775,2.5164,2.9932,397.3997,286.9276,0
paralelo,8,500000,8,482184,81660.0,300,sostenido,8.3276,0.2442,0.8325,1.0778,0.1422,2.3860,2.7119,419.1089,300.4176,0
paralelo,8,500000,9,482184,81660.0,300,sostenido,8.1570,0.2741,0.9043,1.1798,0.1953,2.5269,3.0643,395.7382,272.8215,0
paralelo,8,500000,10,482184,81660.0,300,sostenido,7.9371,0.2549,0.8878,1.1440,0.1648,2.4707,2.9073,404.7476,299.1325,0
paralelo,12,500000,1,482184,81660.0,300,sostenido,8.0270,0.2351,0.9526,1.1891,0.2406,2.5382,3.1168,393.9829,249.1715,0
paralelo,12,500000,2,482184,81660.0,300,sostenido,7.2185,0.2303,1.0115,1.2432,0.2262,2.6147,3.0525,382.4583,269.3966,0
paralelo,12,500000,3,482184,81660.0,300,sostenido,7.0226,0.2328,0.9815,1.2156,0.2264,2.5782,3.1256,387.8622,278.6602,0
paralelo,12,500000,4,482184,81660.0,300,sostenido,7.4822,0.2516,0.9581,1.2112,0.2928,2.5756,3.2404,388.2628,230.0755,0
paralelo,12,500000,5,482184,81660.0,300,sostenido,7.5034,0.2631,0.8458,1.1102,0.2349,2.4316,2.9681,411.2485,272.9928,0
paralelo,12,500000,6,482184,81660.0,300,sostenido,7.2645,0.2381,0.9649,1.2044,0.2254,2.5690,3.0825,389.2634,278.8000,0
paralelo,12,500000,7,482184,81660.0,300,sostenido,7.3455,0.2325,0.9544,1.1882,0.2393,2.5459,3.0977,392.7881,265.5267,0
paralelo,12,500000,8,482184,81660.0,300,sostenido,7.2684,0.2276,0.9465,1.1754,0.2033,2.5236,3.0107,396.2632,286.2951,0
paralelo,12,500000,9,482184,81660.0,300,sostenido,7.1602,0.2269,1.0147,1.2429,0.2593,2.6109,3.1222,383.0120,256.2854,0
paralelo,12,500000,10,482184,81660.0,300,sostenido,6.7457,0.2422,0.8814,1.1249,0.2435,2.4690,3.0468,405.0234,195.8212,0
secuencial,1,2000000,1,1918719,309131.0,300,sostenido,109.9581,3.4227,8.7210,12.1455,0.9081,18.7429,21.0470,53.3535,37.9232,260
secuencial,1,2000000,2,1918719,309131.0,300,sostenido,104.9760,3.4018,8.7272,12.1305,0.8511,18.6582,21.1336,53.5956,40.7000,261
secuencial,1,2000000,3,1918719,309131.0,300,sostenido,102.3993,3.4212,8.8302,12.2529,0.9397,18.8352,21.3016,53.0921,39.8646,276
secuencial,1,2000000,4,1918719,309131.0,300,sostenido,103.8412,3.4278,8.7646,12.1941,0.7230,18.7604,20.9565,53.3039,42.7245,270
secuencial,1,2000000,5,1918719,309131.0,300,sostenido,102.7977,3.4433,8.8034,12.2482,0.9416,18.8293,20.9947,53.1088,42.3028,263
secuencial,1,2000000,6,1918719,309131.0,300,sostenido,103.2701,3.4347,8.8136,12.2497,1.0738,18.8484,21.3380,53.0549,37.0697,262
secuencial,1,2000000,7,1918719,309131.0,300,sostenido,101.7377,3.4395,8.8616,12.3027,1.0376,18.9489,21.7578,52.7734,38.3249,264
secuencial,1,2000000,8,1918719,309131.0,300,sostenido,105.4704,3.4517,8.7843,12.2376,1.1189,18.7593,21.6435,53.3069,34.0172,261
secuencial,1,2000000,9,1918719,309131.0,300,sostenido,102.6471,3.4229,8.8322,12.2567,1.0019,18.7799,21.7343,53.2485,39.8425,264
secuencial,1,2000000,10,1918719,309131.0,300,sostenido,103.6043,3.4706,8.8494,12.3216,1.0529,18.9462,22.4812,52.7811,37.7905,262
paralelo,1,2000000,1,1918719,309131.0,300,sostenido,117.2194,3.8404,11.1139,14.9558,1.0159,23.0310,28.6676,43.4197,32.0547,300
paralelo,1,2000000,2,1918719,309131.0,300,sostenido,114.0602,3.8202,11.0878,14.9094,1.1395,22.9466,29.5245,43.5794,30.8155,300
paralelo,1,2000000,3,1918719,309131.0,300,sostenido,113.6892,3.8570,11.1910,15.0495,1.2784,23.6292,31.6255,42.3206,28.3496,300
paralelo,1,2000000,4,1918719,309131.0,300,sostenido,112.7724,3.8163,11.2684,15.0861,1.1884,23.3760,30.0805,42.7789,28.9505,300
paralelo,1,2000000,5,1918719,309131.0,300,sostenido,113.9311,3.8164,11.1142,14.9321,0.9912,23.2060,29.3395,43.0924,31.3953,300
paralelo,1,2000000,6,1918719,309131.0,300,sostenido,113.6570,3.7918,11.1918,14.9850,1.2070,23.7320,30.6568,42.1371,29.9924,300
paralelo,1,2000000,7,1918719,309131.0,300,sostenido,113.2484,3.7870,11.0795,14.8680,0.8695,22.7532,26.2507,43.9498,32.2844,300
paralelo,1,2000000,8,1918719,309131.0,300,sostenido,117.3912,3.7995,11.1700,14.9709,1.0654,22.7465,26.4428,43.9629,32.2988,300
paralelo,1,2000000,9,1918719,309131.0,300,sostenido,116.5493,3.7992,11.0899,14.8906,1.0818,23.1684,29.7442,43.1623,31.2205,300
paralelo,1,2000000,10,1918719,309131.0,300,sostenido,115.4905,3.8297,11.1005,14.9317,1.0481,22.9137,29.5715,43.6421,31.2956,300
paralelo,2,2000000,1,1918719,309131.0,300,sostenido,71.9800,2.1661,6.1034,8.2710,0.7718,12.9263,14.7691,77.3615,59.0308,1
paralelo,2,2000000,2,1918719,309131.0,300,sostenido,75.1612,2.1613,6.1238,8.2864,0.8333,12.9341,14.7488,77.3149,49.5447,1
paralelo,2,2000000,3,1918719,309131.0,300,sostenido,70.5727,2.1867,6.1632,8.3513,0.9257,13.0429,14.9615,76.6701,47.1254,2
